Uniprot	EntrezID
Q9NPB9	51554
P31937	11112
P61981	7532
O94805	51412
P00325	125
Q8WXA8	170572
P29274	135
P52594	3267
Q9H0C2	83447
Q9UKV8	27161
Q8NFM4	196883
Q8TD06	155465
Q9BVK2	79053
Q3KRA9	84964
Q8IZF5	165082
O43572	11216
Q8N8V4	257629
Q8NHP1	246181
Q12955	288
Q9HCJ1	56172
Q9NZN5	23365
Q96LA8	55170
A6QL64	375248
Q92484	10924
P39687	8125
A6NK59	142686
P05026	481
Q5T1B0	126859
P51451	640
Q6UWJ8	388611
Q02338	622
O60885	23476
Q4VC31	131076
O00175	6369
A8MZ97	339804
P06307	885
P05814	1447
P43155	1384
Q9H2F9	80323
Q9BV19	79078
P52907	829
Q9H4Z3	63935
Q9BUN5	79140
Q9H8G2	79886
Q6UWT4	389336
Q96Q40	65061
Q5TDH0	84301
O94830	23259
Q8NA75	138009
Q8IU60	167227
Q8N688	245936
Q01523	1670
Q5JSL3	139818
Q14129	8214
Q86YN1	57171
Q13268	10202
Q96FX2	285381
Q0P6D2	125704
O60941	1838
Q7Z5J1	374875
P43005	6505
Q5THR3	64800
P60507	105373297
A8MZ26	285588
Q8NEJ0	150290
Q9BQI3	27102
Q99956	1852
P05305	1906
Q5JU00	202500
O60869	8721
Q9NQ11	23400
Q502W7	120935
A2IDD5	124093
Q00975	774
Q00537	5128
Q8TAL5	257169
Q86X52	22856
P86791	221960
P86791	51622
Q7Z4T9	89876
Q96KN2	84735
Q15417	1266
Q9P232	5067
P01031	727
P51795	1184
P35523	1180
Q99715	1303
Q32Q52	440107
Q03060	1390
Q9BUF7	92359
Q9UKF6	51692
Q96BA8	90993
Q9H114	128817
O15528	1594
Q9NQ92	55352
P22680	1581
Q99829	8904
Q5TCH4	284541
Q05D32	51496
Q9NQC7	1540
P28325	1473
Q5M775	92521
P17302	2697
P78310	1525
P19876	2921
Q53GD3	80736
P0CG13	54921
P56545	1488
O43246	6545
Q96HY6	65992
A6NGE4	139425
Q9Y4B6	9730
A8MYV0	728597
Q6PH85	55208
P04440	3115
Q14185	1793
Q15392	1718
Q9UK85	27120
O60231	8449
O76075	1677
Q9NYJ7	10683
P30046	1652
P23743	1606
Q14565	11144
Q9BQC3	1802
Q9UFH2	8632
Q9HCM4	57669
Q9C0G6	1768
Q9HCS5	64097
Q9Y2E6	23220
Q92630	8445
P0DPD8	110599583
P0DPD8	9718
Q6V1X1	54878
A2CJ06	391475
Q16643	1627
O00716	1871
Q15329	1875
P79483	3125
Q8TE96	165545
O75521	10455
Q9NR33	56655
Q9HCU8	57804
Q5T2N8	219293
Q8TBG4	64850
Q13825	549
Q15582	7045
A2RUR9	9720
Q9P2K1	57545
Q86VB7	9332
P61769	567
Q96HJ3	91057
Q8TC20	285782
Q8IV32	64925
P30988	799
Q96AQ1	90557
