Uniprot	EntrezID
A0A0D9S1R9	103234843
Q1AL67	4097496
A0A0D9S1R4	103234842
P0DP84	103223686
A0A0D9SA09	103232581
A0A0D9R093	103234109
A0A0D9SDE7	103230944
A0A0D9RPQ0	103217375
A0A0D9R543	103228175
A0A0D9R7S9	103242479
A0A0D9RPR0	103217372
A0A0D9R627	103245798
A0A0D9SCI7	103221887
A0A0D9S440	103235064
A0A0D9S3P6	103248607
A0A0D9S5D0	103239357
A0A0D9SDU2	103231614
A0A0D9SBF3	103214510
A0A0D9S820	103225277
A0A0D9R7L4	103223215
A0A0D9RQ02	103245182
A0A0D9RXV9	103214907
A0A0D9RTH1	103220008
A0A0D9S3S1	103243614
A0A0D9RC78	103221612
A0A0D9RBZ8	103236841
A0A0D9R3G5	103245928
A0A0D9S8A9	103225423
A0A0D9RFW1	103219077
A0A0D9RSG0	103231560
A0A0D9R1K3	103242764
A0A0D9RA24	103241875
A0A0D9RTH5	103217165
A0A0D9R1S3	103234578
A0A0D9RWL1	103215319
A0A0D9QYX6	103238282
A0A0D9S3X7	103235050
A0A0D9RSR2	103217187
A0A0D9S4K5	103248809
A0A0D9R988	103242431
A0A0D9S1L4	103248265
A0A0D9RRW9	103231586
A0A0D9S0H9	103247328
A0A0D9R157	103223353
A0A0D9S3C1	103223676
A0A0D9RVA0	103231390
A0A0D9S8W1	103225772
A0A0D9SD31	103238455
A0A0D9RCV6	103230763
A0A0D9RPM2	103244463
A0A0D9S816	103225273
A0A0D9S9J8	103219070
A0A0D9RH19	103237284
A0A0D9R1B4	103230814
A0A0D9RU14	103227562
A0A0D9RFA2	103230627
A0A0D9RKF2	103247630
A0A0D9S7N7	103225043
A0A0D9RK70	103242230
A0A0D9S1E7	103236364
A0A0D9SBQ9	103217859
A0A0D9RRA6	103215686
A0A0D9RH35	103226684
A0A0D9QXA4	103243061
A0A0D9RNE4	103244491
A0A0D9RXC5	103215061
A0A0D9R352	103233935
A0A0D9RDN3	103229655
A0A0D9S1H2	103243388
A0A0D9R5K6	103219659
A0A0D9RIB1	103222982
A0A0D9RI46	103233609
A0A0D9SBK3	103228382
A0A0D9RPS7	103244450
A0A0D9RDZ9	103232263
A0A0D9S112	103243331
A0A0D9RQM0	103224220
A0A0D9S848	103225332
A0A0D9RSM9	103230110
A0A0D9RP88	103226327
A0A0D9S144	103243349
A0A0D9SE20	103226419
A0A0D9R5I2	103231271
A0A0D9S8D6	103225471
A0A0D9S3D5	103243551
A0A0D9S9U7	103231300
A0A0D9S624	103224109
A0A0D9RUE7	103246402
A0A0D9RAS0	103223161
A0A0D9RSE9	103243784
A0A0D9R0X9	103228494
A0A0D9S3U5	103239145
A0A0D9R4G5	103233899
A0A0D9RJI8	103232009
A0A0D9RGA0	103226340
A0A0D9RBU8	103228022
A0A0D9RYX3	103214349
A0A0D9R2I1	103216272
A0A0D9S7I5	103224962
A0A0D9SED5	103245217
A0A0D9QXM1	103216597
A0A0D9S097	103247409
A0A0D9S9K3	103219090
A0A0D9QX09	103234489
A0A0D9RU74	103240481
A0A0D9S4M6	103243733
A0A0D9R706	103224526
