Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	1;1	1;1	1;1	;	2	1	1	1	0.6	0.6	0.6	192.79	1741	1741;1742	0.00059595	6.534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25678000	1			+	0	10004	True	10458	16858	19607	19607		
CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	1;1	1;1	1;1	;	2	1	1	1	3.8	3.8	3.8	53.341	474	474;475	0.00034247	9.4045	7254.8	10200	0	0	8461	17068	21.666	0	5051.8	17494	5741.6	19767	8718.9	12481	10135	7566.7	6615.6	9331.9	527.79	1064.9	7802.1	15760	707.2	1163.5	4901.9	16776	6005	19803	8848.2	12793	9658.1	7345.9	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	38773000	1			+	1	5342	True	5571	8943	10103	10103		
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	8	8	8		1	8	8	8	7.8	7.8	7.8	164.34	1477	1477	0	63.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222150000	10			+	2	1325;1921;2547;9982;10671;14308;16150;17504	True;True;True;True;True;True;True;True	1396;2018;2670;10436;11153;15084;17009;18432	2326;3368;4446;16832;16833;17859;23925;23926;27138;29380	2605;3788;5057;19579;19580;20742;27758;27759;31614;34267	2605;3788;5057;19579;20742;27759;31614;34267		
CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	1;1	1;1	1;1	;	2	1	1	1	3	3	3	43.9	401	401;419	0.0017534	6.3916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6052600	2			+	3	16188	True	17049	27227;27228	31711;31712	31712		
CON__P00761	CON__P00761	2	2	2		1	2	2	2	7.8	7.8	7.8	24.409	231	231	0	17.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27486000000	39			+	4	10745;15848	True;True	11231;16695	17979;17980;17981;17982;17983;17984;17985;17986;26573;26574;26575;26576;26577;26578;26579;26580;26581;26582;26583	20874;20875;20876;20877;20878;20879;20880;20881;20882;20883;20884;30948;30949;30950;30951;30952;30953;30954;30955;30956;30957;30958;30959;30960;30961;30962;30963;30964;30965;30966;30967;30968;30969;30970;30971;30972;30973;30974;30975	20874;30953		
CON__P01966	CON__P01966	4	4	4		1	4	4	4	33.8	33.8	33.8	15.184	142	142	0	36.798	13905	14433	0	0	12471	17542	0	13.228	12150	15291	11033	17800	15986	19917	13648	14675	12678	13202	402.07	428.92	11479	16186	543.37	897.2	11663	14724	11570	18140	16023	20075	13078	14164	4	4	0	0	4	4	0	1	4	4	4	4	4	4	4	4	152030000	5			+	5	226;1508;5630;16126	True;True;True;True	239;1585;5879;16985	398;2646;9422;9423;27091	436;2953;10662;10663;31557	436;2953;10662;31557		
CON__P02662	CON__P02662	2	2	2		1	2	2	2	12.6	12.6	12.6	22.975	199	199	0	19.086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178000000	5			+	6	6189;17641	True;True	6459;18574	10599;10600;10601;29602	12085;12086;12087;34517;34518	12087;34517		
CON__P02666	CON__P02666	3	3	3		1	3	3	3	19.1	19.1	19.1	23.583	209	209	0	18.866	5194.3	5735.5	0	0	5804	3821.8	0	0	3497.8	5657	4902.6	3556.3	6100.2	4524.4	5376.1	5190.3	4734.8	5246	179.45	372.59	5334.9	3525.9	0	265.73	3426.1	5348.1	5011.6	3765.9	6142.2	4631.2	5148.6	4963	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	116070000	3			+	7	2337;5646;16545	True;True;True	2446;5896;17420	4067;9472;27780	4590;10719;32376	4590;10719;32376		
CON__P02668	CON__P02668	1	1	1		1	1	1	1	7.7	7.7	7.7	18.974	169	169	0.0048254	6.1816	2535.9	1944.3	0	0	2157	3481.1	0	0	1426.4	2830.5	1465.6	3155	2902.5	3760.1	3245.5	2620.8	2313.1	1778.7	0	191.58	1995.4	3214.7	0	0	1378.3	2724.1	1570.8	3228.5	2926	3776.1	3094.5	2533.3	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	9259300	1			+	8	6311	True	6591	10893	12444	12444		
CON__P02768-1;tr|A0A0D9QXP9|A0A0D9QXP9_CHLSB	CON__P02768-1;tr|A0A0D9QXP9|A0A0D9QXP9_CHLSB	5;3	2;1	2;1	;tr|A0A0D9QXP9|A0A0D9QXP9_CHLSB Albumin OS=Chlorocebus sabaeus OX=60711 GN=ALB PE=4 SV=1	2	5	2	2	5.7	4.6	4.6	69.366	609	609;512	0.0003785	12.358	5471.6	14164	0	0	7472.7	13027	0	0	6269.2	14959	8030.7	9297.1	5784.2	8597.6	6712	4894.3	4990.9	12954	0	596.42	6899	11992	342.24	465.74	6094.5	14107	8051.5	9708.3	6000.6	8656.9	6397.4	4760.4	2	2	0	0	2	2	0	0	2	2	2	2	2	2	2	2	149210000	2			+	9	1680;8706;16778;17678;17806	True;False;False;False;True	1768;9113;17677;18611;18746	2987;14694;14695;14696;28215;29660;29854	3353;17117;17118;17119;17120;17121;17122;32923;34584;34808	3353;17120;32923;34584;34808		
